name,mbid,url
The Beatles,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,https://www.last.fm/music/The+Beatles
Beatles,,https://www.last.fm/music/Beatles
wu tang vs the beatles,,https://www.last.fm/music/wu+tang+vs+the+beatles
#1 Beatles Now,,https://www.last.fm/music/%231+Beatles+Now
The Beatles Tribute Band,,https://www.last.fm/music/The+Beatles+Tribute+Band
The Beatles Recovered Band,,https://www.last.fm/music/The+Beatles+Recovered+Band
The Beatles Revival Band,0f697bc6-6df7-41c9-b550-39981e520d70,https://www.last.fm/music/The+Beatles+Revival+Band
The Beatles Tribute Project,,https://www.last.fm/music/The+Beatles+Tribute+Project
The Beatles With Tony Sheridan,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,https://www.last.fm/music/The+Beatles+With+Tony+Sheridan
Beatles, The,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,https://www.last.fm/music/Beatles,+The
